agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,record_type,page_number,line_number,fiscal_year,raw_line,source_file,has_underlined_content,underlined_text,composite_key
DEPARTMENT OF LABOR,STATE OPERATIONS,Special Revenue Funds - Federal,Unemployment Insurance Reemployment Services Account - 25902,34218,2021,4155000,2328000,reappropriation,581,16.0,2025-26,"23 Personal service (50000) ... 4,155,000 .............. (re. $2,328,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34218|2021|4155000|UNEMPLOYMENT INSURANCE REEMPLOYMENT SERVICES ACCOUNT - 25902
DEPARTMENT OF LABOR,STATE OPERATIONS,Special Revenue Funds - Federal,Unemployment Insurance Reemployment Services Account - 25902,34218,2024,52040000,29869000,reappropriation,582,30.0,2025-26,"3 Personal service (50000) ... 52,040,000 ............ (re. $29,869,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34218|2024|52040000|UNEMPLOYMENT INSURANCE REEMPLOYMENT SERVICES ACCOUNT - 25902
DEPARTMENT OF LABOR,STATE OPERATIONS,Special Revenue Funds - Federal,Unemployment Insurance Reemployment Services Account - 25902,34218,2023,47311000,7292000,reappropriation,582,7.0,2025-26,"28 Personal service (50000) ... 47,311,000 ............. (re. $7,292,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34218|2023|47311000|UNEMPLOYMENT INSURANCE REEMPLOYMENT SERVICES ACCOUNT - 25902
DEPARTMENT OF LABOR,STATE OPERATIONS,Special Revenue Funds - Federal,Labor Contact Center Account - 55071,34218,2022,49368000,15289000,reappropriation,583,32.0,2025-26,"3 Personal service (50000) ... 49,368,000 ............ (re. $15,289,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34218|2022|49368000|LABOR CONTACT CENTER ACCOUNT - 55071
DEPARTMENT OF LABOR,STATE OPERATIONS,Special Revenue Funds - Federal,Labor Contact Center Account - 55071,34218,2021,31744000,7813000,reappropriation,583,7.0,2025-26,"28 Personal service (50000) ... 31,744,000 ............. (re. $7,813,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34218|2021|31744000|LABOR CONTACT CENTER ACCOUNT - 55071
DEPARTMENT OF LABOR,STATE OPERATIONS,General Fund,State Purposes Account - 10050,34770,2024,2380000,1750000,reappropriation,584,35.0,2025-26,"5 Personal service--regular (50100) ... 2,380,000 ..... (re. $1,750,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34770|2024|2380000|STATE PURPOSES ACCOUNT - 10050
DEPARTMENT OF LABOR,STATE OPERATIONS,General Fund,State Purposes Account - 10050,34747,2024,3220000,3016000,reappropriation,584,17.0,2025-26,"27 Personal service--regular (50100) ... 3,220,000 ..... (re. $3,016,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34747|2024|3220000|STATE PURPOSES ACCOUNT - 10050
DEPARTMENT OF LABOR,STATE OPERATIONS,General Fund,State Purposes Account - 10050,34780,2024,19965000,13638000,reappropriation,585,37.0,2025-26,"17 Personal service (50000) ... 19,965,000 ............ (re. $13,638,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34780|2024|19965000|STATE PURPOSES ACCOUNT - 10050
DEPARTMENT OF LABOR,STATE OPERATIONS,General Fund,State Purposes Account - 10050,34779,2024,3938000,2069000,reappropriation,585,20.0,2025-26,"23 Personal service (50000) ... 3,938,000 .............. (re. $2,069,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34779|2024|3938000|STATE PURPOSES ACCOUNT - 10050
DEPARTMENT OF LABOR,STATE OPERATIONS,General Fund,State Purposes Account - 10050,34778,2024,3000000,2952000,reappropriation,585,26.0,2025-26,"31 Personal service (50000) ... 3,000,000 .............. (re. $2,952,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34778|2024|3000000|STATE PURPOSES ACCOUNT - 10050
DEPARTMENT OF LABOR,STATE OPERATIONS,General Fund,State Purposes Account - 10050,34780,2023,18612000,7730000,reappropriation,586,34.0,2025-26,"10 Personal service (50000) ... 18,612,000 ............. (re. $7,730,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34780|2023|18612000|STATE PURPOSES ACCOUNT - 10050
DEPARTMENT OF LABOR,STATE OPERATIONS,General Fund,State Purposes Account - 10050,34779,2023,3244000,988000,reappropriation,586,13.0,2025-26,"16 Personal service (50000) ... 3,244,000 ................ (re. $988,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34779|2023|3244000|STATE PURPOSES ACCOUNT - 10050
DEPARTMENT OF LABOR,STATE OPERATIONS,General Fund,State Purposes Account - 10050,34778,2023,3000000,2952000,reappropriation,586,19.0,2025-26,"24 Personal service (50000) ... 3,000,000 .............. (re. $2,952,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34778|2023|3000000|STATE PURPOSES ACCOUNT - 10050
DEPARTMENT OF LABOR,STATE OPERATIONS,General Fund,State Purposes Account - 10050,34780,2022,18095000,7525000,reappropriation,587,27.0,2025-26,"6 Personal service (50000) ... 18,095,000 ............. (re. $7,525,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34780|2022|18095000|STATE PURPOSES ACCOUNT - 10050
DEPARTMENT OF LABOR,STATE OPERATIONS,General Fund,State Purposes Account - 10050,34779,2022,3279000,45000,reappropriation,587,10.0,2025-26,"13 Personal service (50000) ... 3,279,000 ................. (re. $45,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34779|2022|3279000|STATE PURPOSES ACCOUNT - 10050
DEPARTMENT OF LABOR,STATE OPERATIONS,General Fund,State Purposes Account - 10050,34778,2022,3000000,1515000,reappropriation,587,16.0,2025-26,"21 Personal service (50000) ... 3,000,000 .............. (re. $1,515,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34778|2022|3000000|STATE PURPOSES ACCOUNT - 10050
DEPARTMENT OF LABOR,STATE OPERATIONS,General Fund,State Purposes Account - 10050,34780,2021,13100000,978000,reappropriation,587,24.0,2025-26,"51 Personal service (50000) ... 13,100,000 ............... (re. $978,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34780|2021|13100000|STATE PURPOSES ACCOUNT - 10050
DEPARTMENT OF LABOR,STATE OPERATIONS,Special Revenue Funds - Other,Unemployment Insurance Interest and Penalty Account - 23601,34779,2021,3499000,369000,reappropriation,588,3.0,2025-26,"6 Personal service (50000) ... 3,499,000 ................ (re. $369,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34779|2021|3499000|UNEMPLOYMENT INSURANCE INTEREST AND PENALTY ACCOUNT - 23601
DEPARTMENT OF LABOR,STATE OPERATIONS,Special Revenue Funds - Other,Unemployment Insurance Interest and Penalty Account - 23601,34778,2021,3000000,596000,reappropriation,588,9.0,2025-26,"14 Personal service (50000) ... 3,000,000 ................ (re. $596,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34778|2021|3000000|UNEMPLOYMENT INSURANCE INTEREST AND PENALTY ACCOUNT - 23601
DEPARTMENT OF LABOR,STATE OPERATIONS,Special Revenue Funds - Other,Unemployment Insurance Interest and Penalty Account - 23601,34222,2024,2476000,2472000,reappropriation,588,20.0,2025-26,"25 Personal service--regular (50100) ... 2,476,000 ..... (re. $2,472,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34222|2024|2476000|UNEMPLOYMENT INSURANCE INTEREST AND PENALTY ACCOUNT - 23601
DEPARTMENT OF LABOR,STATE OPERATIONS,Special Revenue Funds - Other,Unemployment Insurance Interest and Penalty Account - 23601,34222,2023,2476000,2439000,reappropriation,588,34.0,2025-26,"39 Personal service--regular (50100) ... 2,476,000 ..... (re. $2,439,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34222|2023|2476000|UNEMPLOYMENT INSURANCE INTEREST AND PENALTY ACCOUNT - 23601
DEPARTMENT OF LABOR,STATE OPERATIONS,Special Revenue Funds - Other,DOL-Child Performer Protection Account - 20401,34222,2022,2524000,2513000,reappropriation,589,48.0,2025-26,"3 Personal service--regular (50100) ... 2,524,000 ..... (re. $2,513,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34222|2022|2524000|DOL-CHILD PERFORMER PROTECTION ACCOUNT - 20401
DEPARTMENT OF LABOR,STATE OPERATIONS,Special Revenue Funds - Other,DOL-Child Performer Protection Account - 20401,34222,2021,2255000,2149000,reappropriation,589,12.0,2025-26,"17 Personal service--regular (50100) ... 2,255,000 ..... (re. $2,149,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34222|2021|2255000|DOL-CHILD PERFORMER PROTECTION ACCOUNT - 20401
DEPARTMENT OF LABOR,STATE OPERATIONS,Special Revenue Funds - Other,DOL-Child Performer Protection Account - 20401,34222,2020,2255000,1955000,reappropriation,589,24.0,2025-26,"27 Personal service--regular (50100) ... 2,255,000 ..... (re. $1,955,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34222|2020|2255000|DOL-CHILD PERFORMER PROTECTION ACCOUNT - 20401
DEPARTMENT OF LABOR,STATE OPERATIONS,Special Revenue Funds - Other,DOL-Child Performer Protection Account - 20401,34788,2024,390000,230000,reappropriation,589,38.0,2025-26,"41 Personal service--regular (50100) ... 390,000 ......... (re. $230,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34788|2024|390000|DOL-CHILD PERFORMER PROTECTION ACCOUNT - 20401
DEPARTMENT OF LABOR,STATE OPERATIONS,Special Revenue Funds - Other,DOL-Fee and Penalty Account - 21923,34788,2023,390000,166000,reappropriation,590,1.0,2025-26,"4 Personal service--regular (50100) ... 390,000 ......... (re. $166,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34788|2023|390000|DOL-FEE AND PENALTY ACCOUNT - 21923
DEPARTMENT OF LABOR,STATE OPERATIONS,Special Revenue Funds - Other,DOL-Fee and Penalty Account - 21923,34788,2022,397000,179000,reappropriation,590,11.0,2025-26,"14 Personal service--regular (50100) ... 397,000 ......... (re. $179,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34788|2022|397000|DOL-FEE AND PENALTY ACCOUNT - 21923
DEPARTMENT OF LABOR,STATE OPERATIONS,Special Revenue Funds - Other,DOL-Fee and Penalty Account - 21923,34788,2024,8744000,8644000,reappropriation,590,24.0,2025-26,"29 Personal service--regular (50100) ... 8,744,000 ..... (re. $8,644,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34788|2024|8744000|DOL-FEE AND PENALTY ACCOUNT - 21923
DEPARTMENT OF LABOR,STATE OPERATIONS,Special Revenue Funds - Other,DOL-Fee and Penalty Account - 21923,34788,2023,8743000,6243000,reappropriation,590,36.0,2025-26,"39 Personal service--regular (50100) ... 8,743,000 ..... (re. $6,243,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34788|2023|8743000|DOL-FEE AND PENALTY ACCOUNT - 21923
DEPARTMENT OF LABOR,STATE OPERATIONS,Special Revenue Funds - Other,Public Work Enforcement Account - 21998,34788,2022,3,1983000,reappropriation,591,45.0,2025-26,"4 [1,183,000] _3_,_8_3_5_,_3_1_3 ............................. (re. $1,983,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34788|2022|3|PUBLIC WORK ENFORCEMENT ACCOUNT - 21998
DEPARTMENT OF LABOR,STATE OPERATIONS,Special Revenue Funds - Other,Public Work Enforcement Account - 21998,34788,2021,1099000,478000,reappropriation,591,5.0,2025-26,"8 Contractual services (51000) ... 1,099,000 ............ (re. $478,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34788|2021|1099000|PUBLIC WORK ENFORCEMENT ACCOUNT - 21998
DEPARTMENT OF LABOR,STATE OPERATIONS,Special Revenue Funds - Other,Public Work Enforcement Account - 21998,34788,2024,4251000,2043000,reappropriation,591,12.0,2025-26,"17 Personal service--regular (50100) ... 4,251,000 ..... (re. $2,043,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34788|2024|4251000|PUBLIC WORK ENFORCEMENT ACCOUNT - 21998
DEPARTMENT OF LABOR,STATE OPERATIONS,Special Revenue Funds - Other,Public Work Enforcement Account - 21998,34788,2023,4251000,1070000,reappropriation,591,26.0,2025-26,"33 Personal service--regular (50100) ... 4,251,000 ..... (re. $1,070,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34788|2023|4251000|PUBLIC WORK ENFORCEMENT ACCOUNT - 21998
DEPARTMENT OF LABOR,STATE OPERATIONS,Special Revenue Funds - Other,Public Work Enforcement Account - 21998,34788,2024,9354000,3461000,reappropriation,592,44.0,2025-26,"9 Personal service--regular (50100) ... 9,354,000 ..... (re. $3,461,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34788|2024|9354000|PUBLIC WORK ENFORCEMENT ACCOUNT - 21998
DEPARTMENT OF LABOR,STATE OPERATIONS,Special Revenue Funds - Other,Public Work Enforcement Account - 21998,34788,2023,9353000,479000,reappropriation,592,19.0,2025-26,"30 Personal service--regular (50100) ... 9,353,000 ....... (re. $479,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34788|2023|9353000|PUBLIC WORK ENFORCEMENT ACCOUNT - 21998
DEPARTMENT OF LABOR,STATE OPERATIONS,Special Revenue Funds - Other,Public Work Enforcement Account - 21998,34788,2022,216000,30000,reappropriation,592,40.0,2025-26,"49 Supplies and materials (57000) ... 216,000 ............. (re. $30,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34788|2022|216000|PUBLIC WORK ENFORCEMENT ACCOUNT - 21998
DEPARTMENT OF LABOR,STATE OPERATIONS,Special Revenue Funds - Other,DOL-Fee and Penalty Account - 21923,34788,2021,185000,75000,reappropriation,593,3.0,2025-26,"12 Supplies and materials (57000) ... 185,000 ............. (re. $75,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34788|2021|185000|DOL-FEE AND PENALTY ACCOUNT - 21923
DEPARTMENT OF LABOR,STATE OPERATIONS,Special Revenue Funds - Other,DOL-Fee and Penalty Account - 21923,34203,2024,3900000,3644000,reappropriation,593,19.0,2025-26,"24 Personal service--regular (50100) ... 3,900,000 ..... (re. $3,644,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34203|2024|3900000|DOL-FEE AND PENALTY ACCOUNT - 21923
DEPARTMENT OF LABOR,STATE OPERATIONS,Special Revenue Funds - Other,DOL-Fee and Penalty Account - 21923,34203,2023,3899000,3269000,reappropriation,593,32.0,2025-26,"37 Personal service--regular (50100) ... 3,899,000 ..... (re. $3,269,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34203|2023|3899000|DOL-FEE AND PENALTY ACCOUNT - 21923
DEPARTMENT OF LABOR,STATE OPERATIONS,Special Revenue Funds - Other,Occupational Safety and Health Inspection Account - 21252,34203,2022,1283000,747000,reappropriation,594,44.0,2025-26,"1 Contractual services (51000) ... 1,283,000 ............ (re. $747,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34203|2022|1283000|OCCUPATIONAL SAFETY AND HEALTH INSPECTION ACCOUNT - 21252
DEPARTMENT OF LABOR,STATE OPERATIONS,Special Revenue Funds - Other,Occupational Safety and Health Inspection Account - 21252,34203,2024,12900000,6561000,reappropriation,594,5.0,2025-26,"16 Personal service--regular (50100) ... 12,900,000 .... (re. $6,561,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34203|2024|12900000|OCCUPATIONAL SAFETY AND HEALTH INSPECTION ACCOUNT - 21252
DEPARTMENT OF LABOR,STATE OPERATIONS,Special Revenue Funds - Other,Occupational Safety and Health Inspection Account - 21252,34203,2023,12900000,7126000,reappropriation,594,25.0,2025-26,"34 Personal service--regular (50100) ... 12,900,000 .... (re. $7,126,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34203|2023|12900000|OCCUPATIONAL SAFETY AND HEALTH INSPECTION ACCOUNT - 21252
DEPARTMENT OF LABOR,STATE OPERATIONS,Special Revenue Funds - Other,OSHA-Training and Education Account - 21251,34203,2022,13166000,1372000,reappropriation,595,43.0,2025-26,"5 Personal service--regular (50100) ... 13,166,000 .... (re. $1,372,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34203|2022|13166000|OSHA-TRAINING AND EDUCATION ACCOUNT - 21251
DEPARTMENT OF LABOR,STATE OPERATIONS,general fund,OSHA-Training and Education Account - 21251,34203,2024,4460000,3149000,reappropriation,595,14.0,2025-26,"26 Personal service--regular (50100) ... 4,460,000 ..... (re. $3,149,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34203|2024|4460000|OSHA-TRAINING AND EDUCATION ACCOUNT - 21251
DEPARTMENT OF LABOR,STATE OPERATIONS,general fund,OSHA-Training and Education Account - 21251,34203,2023,4460000,2431000,reappropriation,595,35.0,2025-26,"47 Personal service--regular (50100) ... 4,460,000 ..... (re. $2,431,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34203|2023|4460000|OSHA-TRAINING AND EDUCATION ACCOUNT - 21251
DEPARTMENT OF LABOR,STATE OPERATIONS,general fund,OSHA-Training and Education Account - 21251,34203,2022,4536000,2877000,reappropriation,596,7.0,2025-26,"19 Personal service--regular (50100) ... 4,536,000 ..... (re. $2,877,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34203|2022|4536000|OSHA-TRAINING AND EDUCATION ACCOUNT - 21251
DEPARTMENT OF LABOR,STATE OPERATIONS,general fund,OSHA-Training and Education Account - 21251,34203,2021,3512000,1959000,reappropriation,596,28.0,2025-26,"40 Personal service--regular (50100) ... 3,512,000 ..... (re. $1,959,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34203|2021|3512000|OSHA-TRAINING AND EDUCATION ACCOUNT - 21251
DEPARTMENT OF LABOR,STATE OPERATIONS,general fund,OSHA-Training and Education Account - 21251,34203,2020,6859000,1741000,reappropriation,597,47.0,2025-26,"10 Contractual services (51000) ... 6,859,000 ........... (re.$1,741,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34203|2020|6859000|OSHA-TRAINING AND EDUCATION ACCOUNT - 21251
DEPARTMENT OF LAW,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Health and Human Services Account - 25117,35114,2024,24000000,12044000,reappropriation,610,5.0,2025-26,"12 Personal service (50000) ... 24,000,000 ............ (re. $12,044,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LAW|35114|2024|24000000|FEDERAL HEALTH AND HUMAN SERVICES ACCOUNT - 25117
DEPARTMENT OF LAW,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Health and Human Services Account - 25117,35114,2023,23601000,2864000,reappropriation,610,16.0,2025-26,"23 Personal service (50000) ... 23,601,000 ............. (re. $2,864,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LAW|35114|2023|23601000|FEDERAL HEALTH AND HUMAN SERVICES ACCOUNT - 25117
DEPARTMENT OF MENTAL HYGIENE,STATE OPERATIONS,General Fund,State Purposes Account - 10050,80530,2025,600000000,0,appropriation,611,34.0,2025-26,"stated (80530) ............................. 600,000,000",STOPS 25-26.pdf,False,,DEPARTMENT OF MENTAL HYGIENE|80530|2025|600000000|STATE PURPOSES ACCOUNT - 10050
DEPARTMENT OF MENTAL HYGIENE,STATE OPERATIONS,Special Revenue Funds - Federal,Opioid Settlement Fund Account - 23817,81031,2024,7400000,7400000,reappropriation,619,5.0,2025-26,"20 Personal service (50000) ... 7,400,000 .............. (re. $7,400,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF MENTAL HYGIENE|81031|2024|7400000|OPIOID SETTLEMENT FUND ACCOUNT - 23817
DEPARTMENT OF MENTAL HYGIENE,STATE OPERATIONS,Special Revenue Funds - Federal,Opioid Settlement Fund Account - 23817,81031,2021,22837000,5263000,reappropriation,619,22.0,2025-26,"32 Nonpersonal service (57050) ... 22,837,000 .......... (re. $5,263,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF MENTAL HYGIENE|81031|2021|22837000|OPIOID SETTLEMENT FUND ACCOUNT - 23817
DEPARTMENT OF MENTAL HYGIENE,STATE OPERATIONS,Special Revenue Funds - Federal,Opioid Settlement Fund Account - 23817,81031,2024,1046000,1046000,reappropriation,619,36.0,2025-26,"45 Personal service--regular (50100) ... 1,046,000 ..... (re. $1,046,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF MENTAL HYGIENE|81031|2024|1046000|OPIOID SETTLEMENT FUND ACCOUNT - 23817
DEPARTMENT OF MENTAL HYGIENE,STATE OPERATIONS,Special Revenue Funds - Other,Opioid Stewardship Account - 22239,81031,2023,2575000,2575000,reappropriation,620,6.0,2025-26,"15 Personal service--regular (50100) ... 2,575,000 ..... (re. $2,575,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF MENTAL HYGIENE|81031|2023|2575000|OPIOID STEWARDSHIP ACCOUNT - 22239
DEPARTMENT OF MENTAL HYGIENE,STATE OPERATIONS,Special Revenue Funds - Other,Opioid Stewardship Account - 22239,81031,2022,100000,100000,reappropriation,620,24.0,2025-26,"32 Contractual services (51000) ... 100,000 .............. (re. $100,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF MENTAL HYGIENE|81031|2022|100000|OPIOID STEWARDSHIP ACCOUNT - 22239
DEPARTMENT OF MENTAL HYGIENE,STATE OPERATIONS,Special Revenue Funds - Other,Opioid Stewardship Account - 22239,81038,2024,516000,354000,reappropriation,621,37.0,2025-26,"3 Personal service (50000) ... 516,000 .................. (re. $354,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF MENTAL HYGIENE|81038|2024|516000|OPIOID STEWARDSHIP ACCOUNT - 22239
DEPARTMENT OF MENTAL HYGIENE,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Health and Human Services Account - 25180,36982,2024,3191000,3191000,reappropriation,634,5.0,2025-26,"7 Personal service (50000) ... 3,191,000 .............. (re. $3,191,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF MENTAL HYGIENE|36982|2024|3191000|FEDERAL HEALTH AND HUMAN SERVICES ACCOUNT - 25180
